iter	Passed	Remaining
1480	16148	207
1481	16159	196
1482	16169	185
1483	16179	174
1484	16190	163
1485	16200	152
1486	16210	141
1487	16221	130
1488	16232	119
1489	16245	109
1490	16258	98
1491	16271	87
1492	16281	76
1493	16291	65
1494	16302	54
1495	16313	43
1496	16323	32
1497	16333	21
1498	16345	10
1499	16356	0
